model_name,epochs_num,train_loss,valid_loss,train_PPL,valid_PPL,BLEU,train_mins,train_secs,eval_mins,eval_secs,batch_size,good_ex,bad_ex
baseline_base_prep,20,2.6614573451276784,4.706754004955291,14.317138914938344,110.6922695620753,17.472841810686074,25,51,0,4,128,"[{'src': 'имеется бесплатная частная парковка .', 'trg': 'free private parking is available .', 'gen': 'free private parking is available .'}, {'src': 'на территории можно взять напрокат велосипед и автомобиль . в окрестностях пользуются популярностью занятия велоспортом .', 'trg': 'bike hire and car hire are available at the property and the area is popular for cycling .', 'gen': 'car hire and car hire are available at the property and the area is popular for cycling .'}, {'src': 'в номерах имеются телевизор с плоским экраном , а также собственная ванная комната с бесплатными туалетно - косметическими принадлежностями .', 'trg': 'rooms include a flat - screen tv and a private bathroom with free toiletries .', 'gen': 'the rooms include a flat - screen tv and a private bathroom with free toiletries .'}]","[{'src': 'на ферме производится собственное вино .', 'trg': 'the farm produces its own wine .', 'gen': 'guests can also enjoy a variety of'}, {'src': 'отель удобно расположен для стадиона paris ( ), замка и зоопарка , и .', 'trg': 'the hotel is conveniently situated to reach paris stadium ( ), vincennes castle and zoo , horse tracks and disneyland resort paris .', 'gen': 'the .'}, {'src': 'в отеле national работают рестораны old steakhouse и .', 'trg': 'the national offers many on - site dining options like the old steakhouse restaurant and the pienza restaurant .', 'gen': 'and .'}]"
baseline_bpe_prep,20,3.4724287377378813,5.131069612503052,32.21488902426063,169.19799758584216,12.16228189534139,26,39,0,3,128,"[{'src': 'здесь работает бесплатный wifi .', 'trg': 'free wifi access is available .', 'gen': 'free wifi access is available .'}, {'src': 'на территории или в окрестностях можно заняться различными видами дея@@ тель@@ ности , включая дартс и велоспорт .', 'trg': 'an array of activities can be enjoyed on site or in the surroundings , including cycling and darts .', 'gen': 'an array of activities can be enjoyed on site or in the surroundings , including cycling and hiking .'}, {'src': 'апартаменты оснащены телевизором с плоским экраном и спутниковыми каналами .', 'trg': 'a flat - screen tv with satellite channels is offered .', 'gen': 'the flat - screen tv with satellite channels is offered .'}]","[{'src': 'все просторные номера оформлены в марок@@ кан@@ ском бер@@ бер@@ ском стиле .', 'trg': 'each spacious room has moroccan ber@@ ber décor .', 'gen': 'the bright rooms are decorated in neutral colours and'}, {'src': 'сотрудники туристического бюро организо@@ вы@@ вают экскурсии и прокат велосипедов .', 'trg': 'the hotel also has a computer station which can be used for free . travel arrangements can be made and bicycles rented at the tour desk .', 'gen': 'staff can assist with sightseeing arrangements and'}, {'src': 'в апартаментах можно взять напрокат велосипеды .', 'trg': 'bike hire is available at the property and the area is popular for snorkelling .', 'gen': 'towels are available .'}]"
baseline_spacy_emb,20,2.678202946726888,4.598027408123016,14.558906642687456,99.28826711444832,14.592863773350526,25,37,0,4,128,"[{'src': 'гостям предоставляется бесплатный wifi .', 'trg': 'free wi - fi access is available .', 'gen': 'free wi - fi access is available .'}, {'src': 'апартаменты располагают телевизором , кондиционером и балконом .', 'trg': 'accommodation will provide you with a tv , air conditioning and a balcony .', 'gen': 'the accommodation will provide you with a tv , air conditioning and a balcony .'}, {'src': 'в собственных ванных комнатах установлена ванна или душ .', 'trg': 'featuring a shower , private bathrooms also come with a bath or shower .', 'gen': 'the a shower , private bathrooms also come with a bath or shower .'}]","[{'src': 'гостевой дом', 'trg': 'the', 'gen': 'is located .'}, {'src': 'рядом с отелем national and suites , an collection можно посетить или исторический фермерский рынок . с региона в .', 'trg': ""discover stunning works of art at the national gallery of canada , or explore the historic 's market , ideally placed close to the national hotel and suites , an collection hotel ."", 'gen': '.'}, {'src': 'неподалеку от отеля homewood suites - находятся университет штата огайо , зоопарк и развлекательный комплекс - .', 'trg': 'the ohio state university , the columbus zoo and the amphitheatre entertainment venue are all located close to the homewood suites columbus - .', 'gen': '.'}]"
cnn_encoder_base_prep,20,3.577372841179942,5.675824618339538,35.77941904841186,291.72880430765844,8.177487363467659e-154,22,26,0,4,128,"[{'src': 'кроме того , отель располагает площадкой .', 'trg': 'there is also a .', 'gen': 'the is is a .'}, {'src': 'работает боулинг .', 'trg': 'there is a bowling alley offered .', 'gen': 'the is is a a .'}, {'src': 'обустроена общая ванная комната .', 'trg': 'there is a shared bathroom available .', 'gen': 'the is is a .'}]","[{'src': 'ко всем апартаментам можно подняться на лифте . среди прочих удобств и услуг — услуги консьержа и круглосуточная здания . сотрудники апартаментов говорят на нескольких языках .', 'trg': 'all apartments have lift access , concierge service , multi - staff , and 24 - hour on - site security ,', 'gen': 'the is is is a .'}, {'src': 'в 1 , 5 км от апартаментов apartman blanca находится торговый центр , в 2 , 5 км — центральный рынок , в 3 , 5 км — термальные ванны спа - центра , а также в 4 км — базилика святого , и государственный оперный театр . расстояние до венгерского национального музея составляет 2 , 5 км , до национального театра — 2 км , а до цепного моста через дунай — 4 км .', 'trg': ""guests can find a shopping mall 1 . 5 km from the apartman blanca and the central market hall lies 2 . 5 km away . the baths and spa can be visited 3 . 5 km from the apartment , while the st . stephen ' s basilica , the and the state opera house all lie 4 km off . the hungarian national museum can be seen 2 . 5 km away and the national theatre can be 2 km off . the chain bridge over the danube river 4 km off ."", 'gen': 'the is is is a .'}, {'src': 'днем , в часы , в лобби отеля можно послушать живую фортепианную музыку , в время живую музыку можно послушать в баре с видом на море . на террасе ресторана в любое время года гостям подают блюда из морепродуктов , а в ресторане & grill с великолепным видом на мраморное море и острова — изысканные блюда средиземноморской и турецкой кухни .', 'trg': ""you can relax at bar while your drink accompanied by views of the sea . live music can be enjoyed at bar during the night and the hotel also offers live piano at the lobby during the day at certain times . renovated marmara fish restaurant serves sea food dishes on the terrace throughout the year . featuring idyllic view of the marmara sea and the princes ' islands , restaurant & grill ' s delicious menu includes mediterranean and turkish dishes ."", 'gen': 'the is is is a .'}]"
cnn_encoder_spacy_emb,20,3.5432777130565705,5.320504808425904,34.58007721035951,204.48708274483,0.1156796590614747,22,7,0,4,128,"[{'src': 'апартаменты « жемчужина » расположены в городе санкт - , в 10 минутах езды от залива . к услугам гостей бесплатный wi - fi .', 'trg': 'located a 10 - minute drive from the gulf of in saint petersburg , apartment offers free wifi .', 'gen': 'the is is a a - minute drive from the .'}, {'src': 'отель sun palace находится в 15 минутах ходьбы от сада и в 20 минутах езды от замка .', 'trg': 'sun palace is a 15 - minute walk from the garden , and a 20 - minute drive from the castle .', 'gen': 'the is is a a - minute drive from the .'}, {'src': 'этот отель находится в непосредственной близости от межштатной автомагистрали 20 , в 10 минутах езды от центра города с его достопримечательностями , такими как театр « » .', 'trg': 'located from interstate 20 , this hotel is a 10 - minute drive from downtown and its attractions , like the theatre .', 'gen': 'the is is a a - minute drive from the .'}]","[{'src': 'поле для гольфа north .', 'trg': 'north golf course', 'gen': 'the is is a a a .'}, {'src': 'в этом доме для отпуска с видом на горы есть камин , телевизор с плоским экраном , cd - плеер , dvd - плеер , и радио . к вашим услугам полностью оборудованная кухня с обеденным столом , гостиной зоной , диваном , а также собственная ванная комната с душем , дополнительная ванная комната и бесплатные туалетно - косметические принадлежности .', 'trg': 'this holiday home comes with a mountain view , a fireplace , a tv , a dvd - player , a cd - player , a radio , a fully equipped kitchen with a dining table , a seating area , a sofa bed , a private bathroom with a shower , an additional bathroom and free toiletries .', 'gen': 'the is is a a a .'}, {'src': 'здесь можно наслаждаться любимым напитком во время просмотра местной спортивной команды , или на одном из паба . также за напитком или за ужином можно изучить и о пути , и все это на территории отеля .', 'trg': ""enjoy your beverage while watching your local sports team , the weather or the news on one of the pub 's four lcd . take a step back in history and about the trail while enjoying a relaxing beverage or dinner , all while not having to leave the premises ."", 'gen': 'the is is a a a .'}]"
attention_spacy_emb,20,1.1748649950225514,4.789490652084351,3.237705807931278,120.24010901439874,32.084033691976195,33,51,0,4,128,"[{'src': 'стойка регистрации работает круглосуточно .', 'trg': 'you will find a 24 - hour front desk at the property .', 'gen': 'you will find a 24 - hour front desk at the property .'}, {'src': 'все номера оборудованы кондиционером и телевизором с плоским экраном с кабельными каналами .', 'trg': 'each room at this hotel is air conditioned and is fitted with a flat - screen tv with cable channels .', 'gen': 'every room at this hotel is air conditioned and is fitted with a flat - screen tv with cable channels .'}, {'src': 'эти апартаменты с кондиционером расположены в городе сплит , в 300 метрах от дворца диоклетиана .', 'trg': ""located in split , this air - conditioned apartment is 300 metres from diocletian 's palace ."", 'gen': ""set in split , this air - conditioned apartment is 300 metres from diocletian 's palace .""}]","[{'src': 'гостевой дом', 'trg': 'the', 'gen': 'is a guest house that offers guests with a .'}, {'src': 'в отеле national работают рестораны old steakhouse и .', 'trg': 'the national offers many on - site dining options like the old steakhouse restaurant and the pienza restaurant .', 'gen': 'national hotel is – and .'}, {'src': 'с балконов некоторых апартаментов открывается вид на океан .', 'trg': 'guests at apartamento guarujá can take in the ocean view from the balcony .', 'gen': 'some have ocean views .'}]"
attention_base_prep,20,1.1497323798676269,4.750323903560639,3.1573478267708617,115.62172875233144,32.56103488984252,33,29,0,5,128,"[{'src': 'стойка регистрации работает круглосуточно .', 'trg': 'you will find a 24 - hour front desk at the property .', 'gen': 'you will find a 24 - hour front desk at the property .'}, {'src': 'все номера оборудованы кондиционером и телевизором с плоским экраном с кабельными каналами .', 'trg': 'each room at this hotel is air conditioned and is fitted with a flat - screen tv with cable channels .', 'gen': 'every room at this hotel is air conditioned and is fitted with a flat - screen tv with cable channels .'}, {'src': 'эти апартаменты с кондиционером расположены в городе сплит , в 300 метрах от дворца диоклетиана .', 'trg': ""located in split , this air - conditioned apartment is 300 metres from diocletian 's palace ."", 'gen': ""set in split , this air - conditioned apartment is 300 metres from diocletian 's palace .""}]","[{'src': 'гостевой дом', 'trg': 'the', 'gen': 'is a guest house that offers guests with a .'}, {'src': 'в отеле national работают рестораны old steakhouse и .', 'trg': 'the national offers many on - site dining options like the old steakhouse restaurant and the pienza restaurant .', 'gen': 'national hotel is – and .'}, {'src': 'с балконов некоторых апартаментов открывается вид на океан .', 'trg': 'guests at apartamento guarujá can take in the ocean view from the balcony .', 'gen': 'some have ocean views .'}]"
attention_pe_spacy_emb,20,1.6266504286196286,4.731886756420136,5.086807525698146,113.50952526277204,31.11249808069753,32,58,0,4,128,"[{'src': 'также среди удобств чайник .', 'trg': 'you will find a kettle in the room .', 'gen': 'you will find a kettle in the room .'}, {'src': 'хостел youth находится в 30 минутах езды от железнодорожного вокзала гуанчжоу и в 40 минутах - от аэропорта байюнь .', 'trg': 'michael youth hostel is a 30 - minute drive from guangzhou railway station and a 40 - minute drive from baiyun airport .', 'gen': 'youth hostel is a 30 - minute drive from guangzhou railway station and a 40 - minute drive from baiyun airport .'}, {'src': 'все номера оборудованы телевизором с плоским экраном , а в некоторых из них также обустроен гостиный уголок .', 'trg': 'the rooms come with a flat - screen tv . certain units feature a seating area where you can relax .', 'gen': 'all rooms come with a flat - screen tv . certain units feature a seating area where you can relax .'}]","[{'src': 'стены апартаментов .', 'trg': 'the walls are painted by paolo .', 'gen': '.'}, {'src': 'в 2010 году ресторан отеля в 6 раз был удостоен 2 звезд ден .', 'trg': 'in 2010 , ’s restaurant was awarded with 2 stars by den for the 6th year in a row .', 'gen': 'the awarded 6 2 .'}, {'src': 'несколько торговых центров и ресторанов находятся в непосредственной близости от отеля - by sofitel .', 'trg': 'several shopping centres and restaurants are in the closest vicinity of the hotel budapest - by sofitel , while the railway station is just a 5 - minute drive from the property .', 'gen': 'seaworld , shopping and dining venues are proximity to the .'}]"
torch_transformer,20,0.908180863522112,1.4196850508451462,2.4798073197815502,4.135817662830299,40.33981988210841,10,20,0,1,128,"[{'src': 'располагается в 10 км .', 'trg': 'is 10 km away .', 'gen': 'is 10 km away .'}, {'src': 'до международного аэропорта шереметьево гости смогут добраться за 35 минут на аэроэкспрессе от белорусского железнодорожного вокзала , который находится в 10 минутах езды на метро от хостела .', 'trg': 'sheremetyevo international airport is a 35 - minute ride with aeroexpress train from belorussky train station , which is a 10 - minute metro ride from hostel .', 'gen': 'international airport is a 35 - minute ride with aeroexpress train from belorussky train station , which is a 10 - minute metro ride from hostel .'}, {'src': 'в числе удобств обеденная зона , кухня с посудомоечной машиной и духовкой , а также телевизор с плоским экраном и спутниковыми каналами .', 'trg': 'there is a dining area and a kitchen complete with a dishwasher and an oven . a flat - screen tv with satellite channels is offered .', 'gen': 'is a dining area and a kitchen complete with a dishwasher and an oven . a flat - screen tv with satellite channels is offered .'}]","[{'src': 'гостевой дом', 'trg': 'the', 'gen': 'guest guest offers is offers offers offers guest guest guest guest guest guest guest guest guest guest guest guest guest'}, {'src': 'на всей территории хостела работает бесплатный wi - fi .', 'trg': 'louis cathedral in new . free wifi access is available throughout the property .', 'gen': 'free is the areas features'}, {'src': 'в историческом регионе голд кантри рекомендуется посетить город - .', 'trg': 'visit the gold country for a great trip to grass valley .', 'gen': 'gold heritage wine historic .'}]"
torch_transformer_50_epochs,50,0.27302358896968465,1.9052347987890244,1.3139312387433388,6.72098552164543,39.967922447544204,25,28,0,0,128,"[{'src': 'располагается в 10 км .', 'trg': 'is 10 km away .', 'gen': 'is 10 km away .'}, {'src': 'апартаменты располагают телевизором с плоским экраном , кондиционером , гостиным уголком , а также кухней с микроволновой печью и холодильником .', 'trg': 'accommodation will provide you with a flat - screen tv , air conditioning and a seating area . there is a kitchen with a microwave and a refrigerator .', 'gen': 'will provide you with a flat - screen tv , air conditioning and a seating area . there is a kitchen with a microwave and a refrigerator .'}, {'src': 'до международного аэропорта шереметьево гости смогут добраться за 35 минут на аэроэкспрессе от белорусского железнодорожного вокзала , который находится в 10 минутах езды на метро от хостела .', 'trg': 'sheremetyevo international airport is a 35 - minute ride with aeroexpress train from belorussky train station , which is a 10 - minute metro ride from hostel .', 'gen': 'international airport is a 35 - minute ride with aeroexpress train from belorussky train station , which is a 10 - minute metro ride from hostel .'}]","[{'src': 'гостевой дом', 'trg': 'the', 'gen': 'guest guest offers is is is is . . . . . . . . . . . . .'}, {'src': 'за 7 минут вы можете дойти до калле - , где находятся многочисленные рестораны и бары .', 'trg': 'you can walk to calle in 7 minutes . here you can find a range of restaurants and bars .', 'gen': 'will find to , a minutes ’'}, {'src': 'отель toscana располагает многочисленными историческими элементами декора , включая и фасад , частично отделанный деревом и .', 'trg': 'hotel toscana features many historic elements , including the wooden staircase and part of the half - timbered façade .', 'gen': 'toscana a including a , of size ,'}]"
